"","GSM3359632","GSM3359633","GSM3359634","GSM3359635","GSM3359636","GSM3359637","GSM3359638","GSM3359639","GSM3359640","GSM3359641","GSM3359642","GSM3359643"
"ARHGAP22",1.7959971332891,1.64658612276397,1.87400673425511,1.66223482910741,1.74603988735391,1.79440631759781,1.41186116598928,1.70160566768397,1.67224074655694,2.00938553115633,1.6138712990523,1.57721451398278
"POU3F3",2.46252451908476,2.25143134954149,2.4237876898649,1.65333845123703,2.30198748018732,2.15073991281347,2.19269241112741,2.29610417782545,2.750153475062,2.30160194215837,2.21179154517255,2.09251307096113
"PLEKHG2",5.22303602540485,4.94089725243232,5.36973198991213,4.86930387945342,5.091012233203,5.28177108816053,5.51685165991635,5.2068948202449,5.5890284200923,5.06264868269085,5.19908337352105,4.83256463160354
"DEPDC5",2.87419044065802,2.75783021457704,2.67740381523709,3.00452167123068,2.73048768971754,2.84062557084768,2.93912076951991,2.85390573487071,2.42440797583177,2.74353474309818,2.7287676891527,2.69185938407172
"KRTAP10-7",4.57096091589422,4.32972126356888,4.68562017954128,4.03540433860263,4.3495617334245,4.437270656451,5.20884139216637,4.05882466786205,4.84260189378911,5.00250511358482,4.65006980663367,4.29656600956982
"KRTAP10-1",5.69063371472156,5.38401610553336,5.92790137620701,4.99720639481638,5.68322588005505,5.70281245488762,5.53212970595602,5.13157439858118,5.7985632180026,5.25885121104151,5.49818941691874,5.18348825613948
"KRTAP10-3",5.93142540175226,5.65627078342548,5.98316396763538,5.35210304945498,5.91200594247038,5.85841949638084,6.07177322159777,5.80713776563595,6.2748546043655,6.04110738613861,5.9258867161036,5.73594760820667
"TDRKH",2.00466604288839,2.00249168592584,2.01966300534056,1.95833002697276,2.01396927806703,2.0356443057098,1.89400854331453,1.73333681215156,2.31109402375695,1.87127474794488,1.80556322360449,1.99232474360272
"OR2A14",6.0817771304216,5.88664697644176,6.02154212366995,5.35763339466187,5.97807524086559,6.11951290963096,5.86063959577722,5.76950838287416,6.33538331341319,5.76766697855106,5.90836245132651,5.61958990883197
"KRTAP19-1",2.36661110516426,2.35139566976694,2.70013255888029,2.16272600821787,2.61442855033861,2.68446440018582,2.77022540260988,2.54438763181982,2.76819118958497,3.2169844601043,2.60010603739032,2.37880911487232
"KRTAP10-9",5.24869746773289,5.14546738268096,4.92101327624346,5.1524046358122,5.33568295978868,5.11585501608508,5.99907106116786,5.57746498440931,5.7201389259141,6.47734313783595,5.55264260607685,5.50952871474443
"ZNF391",1.78664126297529,1.7008892050194,1.57445659646142,1.57445659646142,1.60736759216663,1.64703165384195,1.78346587819694,1.66900993371846,1.6224273834786,1.61742496662444,1.61171856071087,1.57445659646142
"RPL38",9.98790371853596,9.75197593669813,9.23491361790895,9.64519748151769,9.72979782708338,9.71470129402997,9.39977137329702,9.22436960257414,9.39738890984131,8.91423960709049,9.55396175297988,9.55663806059266
"PRB1",2.29691743829194,2.27298902176137,2.42648798331186,2.14323310932073,2.15400351556802,2.23852663885494,2.57705022075302,2.26391680174893,2.36381937903033,2.67851630830772,2.39423982005236,2.22788718154814
"H3-3A",10.0437016342291,9.73607582471709,9.97466829912878,9.98611360847654,9.95409847453494,9.99282377115588,9.67748673723199,9.92115030271293,9.67836934538325,9.65755985004144,9.71523932822125,9.74654245730151
"UNCX",5.60401093667429,5.41629168924865,5.87750984481885,5.07653802088974,5.43542934952448,5.69347076140869,5.49610928329692,5.37385389521349,5.99891217344248,6.06016075527772,5.7750628556247,5.45998328818699
"ZNF835",2.95211515331279,2.54904010659962,2.78262725833441,2.63167907541474,2.80087830082004,2.9776829281742,3.15263119937103,2.807668672346,3.29047085866992,3.37973897922555,3.00232747122787,2.81281295790952
"IMPACT",2.05020050159566,2.26784552851026,1.56235598957654,2.06804944075514,1.87845495825185,1.75356856464332,0.986437706116988,1.87844135044772,1.40365665370418,1.209930630649,1.36694071963139,1.90746478383909
"LHFPL7",3.28262937603434,3.45774922688898,3.99928119126161,2.9931148619049,3.33293983598171,3.51328485639082,3.01389481891972,3.62971656413702,3.63610620864497,3.83070671871572,3.22731708770929,3.3087720474726
"PYGO1",1.7743429358615,1.53142690936753,1.81274071404664,1.72104678085826,1.8175746773901,1.79125104164281,2.14753731250049,1.81688704266933,1.78822851820955,2.22325167604067,1.82278728804005,1.68376916742568
"DUX4L1",6.76337019738276,6.47862114326021,6.93821502758917,5.82665676956282,6.62457187695014,6.78320942949123,6.80889014862916,6.59184295220372,7.17648423642973,7.40454621660659,6.66409818924373,6.56034309637331
"TCEAL1",4.95217836695018,4.89289578436834,4.24231572187557,4.86813105617172,4.90367722802288,4.70111581776091,3.70820748813796,3.94157100454248,3.92906567786786,3.98918878093563,3.58200649763377,4.52629530904796
